ITEM,PARAMETER,TANGGAL,NILAI
STORAGE 03,MOIST ,17,0.0035
STORAGE 03,DIRTY,17,0.00043
STORAGE 03,LEVEL ,17,
STORAGE 03,SUHU,17,
STORAGE 03,STOCK,17,140547.0
BUNKER NO.1,MOIST ,17,0.07604
BUNKER NO.1,DIRTY,17,0.055810000000000005
BUNKER NO.1,STOCK (KG),17,3862.0
BUNKER NO.2,MOIST ,17,0.0668
BUNKER NO.2,DIRTY,17,0.0605
BUNKER NO.2,STOCK (KG),17,51946.0
CANGKANG,PRODUKSI (KG),17,60020.0
CANGKANG,PEMAKAIAN (KG),17,57019.0
CANGKANG,STOCK (KG),17,183073.45771001268
JANGKOS,PRODUKSI ,17,110537.0
JANGKOS,STOCK (KG),17,155695.0
JANGKOS,,17,
STORAGE 01,FFA,18,0.043
STORAGE 01,MOIST ,18,0.0036
STORAGE 01,DIRTY,18,0.00047
STORAGE 01,LEVEL ,18,
STORAGE 01,SUHU,18,
STORAGE 01,STOCK (KG),18,956034.0
STORAGE 02,FFA,18,0.1545
STORAGE 02,MOIST ,18,0.1976
STORAGE 02,DIRTY,18,0.127
STORAGE 02,LEVEL ,18,
STORAGE 02,SUHU,18,
STORAGE 02,STOCK,18,38518.0
STORAGE 03,FFA,18,0.0438
STORAGE 03,MOIST ,18,0.003
STORAGE 03,DIRTY,18,0.00045
STORAGE 03,LEVEL ,18,
STORAGE 03,SUHU,18,
STORAGE 03,STOCK,18,140547.0
BUNKER NO.1,MOIST ,18,0.07604
BUNKER NO.1,DIRTY,18,0.055810000000000005
BUNKER NO.1,STOCK (KG),18,862.0
BUNKER NO.2,MOIST ,18,0.06
BUNKER NO.2,DIRTY,18,0.0627
BUNKER NO.2,STOCK (KG),18,66207.0
CANGKANG,PRODUKSI (KG),18,51528.0
CANGKANG,PEMAKAIAN (KG),18,48952.0
CANGKANG,STOCK (KG),18,185649.45771001268
JANGKOS,PRODUKSI ,18,94897.0
JANGKOS,STOCK (KG),18,136132.0
JANGKOS,,18,
STORAGE 01,FFA,19,
STORAGE 01,MOIST ,19,
STORAGE 01,DIRTY,19,
STORAGE 01,LEVEL ,19,
STORAGE 01,SUHU,19,
STORAGE 01,STOCK (KG),19,
STORAGE 02,FFA,19,
STORAGE 02,MOIST ,19,
STORAGE 02,DIRTY,19,
STORAGE 02,LEVEL ,19,
STORAGE 02,SUHU,19,
STORAGE 02,STOCK,19,
STORAGE 03,FFA,19,
STORAGE 03,MOIST ,19,
STORAGE 03,DIRTY,19,
STORAGE 03,LEVEL ,19,
STORAGE 03,SUHU,19,
STORAGE 03,STOCK,19,
BUNKER NO.1,MOIST ,19,
BUNKER NO.1,DIRTY,19,
BUNKER NO.1,STOCK (KG),19,
BUNKER NO.2,MOIST ,19,
BUNKER NO.2,DIRTY,19,
BUNKER NO.2,STOCK (KG),19,
CANGKANG,PRODUKSI (KG),19,
CANGKANG,PEMAKAIAN (KG),19,
CANGKANG,STOCK (KG),19,
JANGKOS,PRODUKSI ,19,
JANGKOS,STOCK (KG),19,
JANGKOS,,19,
STORAGE 01,FFA,20,
STORAGE 01,MOIST ,20,
STORAGE 01,DIRTY,20,
STORAGE 01,LEVEL ,20,
STORAGE 01,SUHU,20,
STORAGE 01,STOCK (KG),20,
STORAGE 02,FFA,20,
STORAGE 02,MOIST ,20,
STORAGE 02,DIRTY,20,
STORAGE 02,LEVEL ,20,
STORAGE 02,SUHU,20,
STORAGE 02,STOCK,20,
STORAGE 03,FFA,20,
STORAGE 03,MOIST ,20,
STORAGE 03,DIRTY,20,
STORAGE 03,LEVEL ,20,
STORAGE 03,SUHU,20,
STORAGE 03,STOCK,20,
BUNKER NO.1,MOIST ,20,
BUNKER NO.1,DIRTY,20,
BUNKER NO.1,STOCK (KG),20,
BUNKER NO.2,MOIST ,20,
BUNKER NO.2,DIRTY,20,
BUNKER NO.2,STOCK (KG),20,
CANGKANG,PRODUKSI (KG),20,
CANGKANG,PEMAKAIAN (KG),20,
CANGKANG,STOCK (KG),20,
JANGKOS,PRODUKSI ,20,
JANGKOS,STOCK (KG),20,
JANGKOS,,20,
STORAGE 01,FFA,21,
STORAGE 01,MOIST ,21,
STORAGE 01,DIRTY,21,
STORAGE 01,LEVEL ,21,
STORAGE 01,SUHU,21,
STORAGE 01,STOCK (KG),21,
STORAGE 02,FFA,21,
STORAGE 02,MOIST ,21,
STORAGE 02,DIRTY,21,
STORAGE 02,LEVEL ,21,
STORAGE 02,SUHU,21,
STORAGE 02,STOCK,21,
STORAGE 03,FFA,21,
STORAGE 03,MOIST ,21,
STORAGE 03,DIRTY,21,
STORAGE 03,LEVEL ,21,
STORAGE 03,SUHU,21,
STORAGE 03,STOCK,21,
BUNKER NO.1,MOIST ,21,
BUNKER NO.1,DIRTY,21,
BUNKER NO.1,STOCK (KG),21,
BUNKER NO.2,MOIST ,21,
BUNKER NO.2,DIRTY,21,
BUNKER NO.2,STOCK (KG),21,
CANGKANG,PRODUKSI (KG),21,
CANGKANG,PEMAKAIAN (KG),21,
CANGKANG,STOCK (KG),21,
JANGKOS,PRODUKSI ,21,
JANGKOS,STOCK (KG),21,
JANGKOS,,21,
STORAGE 01,FFA,22,
STORAGE 01,MOIST ,22,
STORAGE 01,DIRTY,22,
STORAGE 01,LEVEL ,22,
STORAGE 01,SUHU,22,
STORAGE 01,STOCK (KG),22,
STORAGE 02,FFA,22,
STORAGE 02,MOIST ,22,
STORAGE 02,DIRTY,22,
STORAGE 02,LEVEL ,22,
STORAGE 02,SUHU,22,
STORAGE 02,STOCK,22,
STORAGE 03,FFA,22,
STORAGE 03,MOIST ,22,
STORAGE 03,DIRTY,22,
STORAGE 03,LEVEL ,22,
STORAGE 03,SUHU,22,
STORAGE 03,STOCK,22,
BUNKER NO.1,MOIST ,22,
BUNKER NO.1,DIRTY,22,
BUNKER NO.1,STOCK (KG),22,
BUNKER NO.2,MOIST ,22,
BUNKER NO.2,DIRTY,22,
BUNKER NO.2,STOCK (KG),22,
CANGKANG,PRODUKSI (KG),22,
CANGKANG,PEMAKAIAN (KG),22,
CANGKANG,STOCK (KG),22,
JANGKOS,PRODUKSI ,22,
JANGKOS,STOCK (KG),22,
JANGKOS,,22,
STORAGE 01,FFA,23,
STORAGE 01,MOIST ,23,
STORAGE 01,DIRTY,23,
STORAGE 01,LEVEL ,23,
STORAGE 01,SUHU,23,
STORAGE 01,STOCK (KG),23,
STORAGE 02,FFA,23,
STORAGE 02,MOIST ,23,
STORAGE 02,DIRTY,23,
STORAGE 02,LEVEL ,23,
STORAGE 02,SUHU,23,
STORAGE 02,STOCK,23,
STORAGE 03,FFA,23,
STORAGE 03,MOIST ,23,
STORAGE 03,DIRTY,23,
STORAGE 03,LEVEL ,23,
STORAGE 03,SUHU,23,
STORAGE 03,STOCK,23,
BUNKER NO.1,MOIST ,23,
BUNKER NO.1,DIRTY,23,
BUNKER NO.1,STOCK (KG),23,
BUNKER NO.2,MOIST ,23,
BUNKER NO.2,DIRTY,23,
BUNKER NO.2,STOCK (KG),23,
CANGKANG,PRODUKSI (KG),23,
CANGKANG,PEMAKAIAN (KG),23,
CANGKANG,STOCK (KG),23,
JANGKOS,PRODUKSI ,23,
JANGKOS,STOCK (KG),23,
JANGKOS,,23,
STORAGE 01,FFA,24,
STORAGE 01,MOIST ,24,
STORAGE 01,DIRTY,24,
